Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786591594,50,,Aggregated,17.900000,0.000000,220,220,240,250,400,500,610,700,1200,1200,1200,877,0,220,254.90702337520776,194.3429999955697,1215.6462999992073,1529.175598631699
1786591595,50,,Aggregated,17.900000,0.000000,210,220,230,240,390,490,610,700,1200,1200,1200,899,0,210,253.82737052285108,194.3429999955697,1215.6462999992073,1517.876529477197
1786591596,50,,Aggregated,18.500000,0.000000,210,220,230,240,390,490,610,690,1200,1200,1200,921,0,210,252.97221194358926,194.3429999955697,1215.6462999992073,1532.6938110749186
1786591597,50,,Aggregated,17.900000,0.000000,210,220,230,240,390,490,610,690,1200,1200,1200,940,0,210,252.16533882984493,194.3429999955697,1215.6462999992073,1538.6191489361702
1786591598,50,,Aggregated,18.200000,0.000000,210,220,230,240,380,490,590,690,1200,1200,1200,954,0,210,251.70335524116598,194.3429999955697,1215.6462999992073,1554.0251572327045
1786591599,50,,Aggregated,18.700000,0.000000,210,220,240,240,390,490,590,690,1200,1200,1200,977,0,210,252.32507686802356,194.3429999955697,1215.6462999992073,1548.7072671443193
1786591600,50,,Aggregated,18.400000,0.000000,210,220,240,240,360,480,590,690,1200,1200,1200,995,0,210,251.66126402017008,194.3429999955697,1215.6462999992073,1547.737688442211
1786591601,50,,Aggregated,18.100000,0.000000,210,220,230,240,360,480,580,670,1100,1200,1200,1016,0,210,250.79232657486773,194.3429999955697,1215.6462999992073,1547.6820866141732
1786591602,50,,Aggregated,18.700000,0.000000,210,220,230,240,330,480,580,670,1100,1200,1200,1032,0,210,250.0721231589798,193.74840000091353,1215.6462999992073,1545.281976744186
1786591603,50,,Aggregated,19.200000,0.000000,210,220,230,240,330,480,580,670,1100,1200,1200,1053,0,210,249.49369449199952,193.74840000091353,1215.6462999992073,1553.3675213675215
1786591604,50,,Aggregated,18.900000,0.000000,210,220,230,240,330,470,580,670,1100,1200,1200,1070,0,210,249.15345327110762,193.74840000091353,1215.6462999992073,1551.83738317757
1786591605,50,,Aggregated,19.500000,0.000000,210,220,230,240,330,470,580,670,1100,1200,1200,1088,0,210,248.61430386037603,193.74840000091353,1215.6462999992073,1547.9889705882354
